numero;nombre;longitud;latitud
135;PASEO MARÍTIMO;-2.447286;36.824909
136;AUDITORIO;-2.444219;36.822781
137;RESIDENCIA TERCERA EDAD;-2.439843;36.81968
138;NUEVA ALMERÍA;-2.439869;36.819661
139;PLAYA;-2.435805;36.816776
140;RIO ANDARAX;-2.42658;36.815635
141;LA CABAÑA;-2.419667;36.817271
142;EL BOBAR;-2.414522;36.818544
143;TRAFARIÑA;-2.40988;36.821566
144;UNIVERSIDAD;-2.404127;36.827775
145;TRAFARIÑA;-2.410005;36.821593
146;EL BOBAR;-2.41465;36.818687
147;LA CABAÑA;-2.41989;36.817401
148;RIO ANDARAX;-2.42691;36.815835
149;PLAYA;-2.435201;36.816474
150;NUEVA ALMERÍA;-2.438193;36.818603
151;QUINTO PINO;-2.440861;36.820536
152;AUDITORIO;-2.444093;36.822888
154;RECINTO FERIAL;-2.44503;36.8250501
155;AVDA. DEL MEDITERRANEO 45;-2.445467616;36.8279662908
156;CALLE ZÉUS;-2.435403;36.849303
157;AVDA. DEL MEDITERRANEO 104;-2.44632;36.8324477429
158;CORTIJO GRANDE;-2.4467085;36.8341351
159;AV. MEDITERRANEO - ESTACIÓN DE SERVICIO;-2.4467987;36.8344742
160;AVDA. DEL MEDITERRANEO 104;-2.44635;36.8322743643075
161;CALLE LA FUENTE;-2.43742;36.850505
162;AVDA. DEL MEDITERRANEO 45;-2.445624183;36.8279601
163;RECINTO FERIAL;-2.445134;36.8254307
164;PASEO MARITIMO;-2.447185;36.825033
165;PLAZA ZAPILLO;-2.44883;36.826206
166;CALIFORNIA;-2.451651;36.829248
167;EL CHARCO;-2.3889;36.834857
168;COSTACABANA  PISTAS DEPORTIVAS;-2.385125;36.838443
169;PLAZA DE COSTACABANA;-2.380912;36.839386
170;CALLE RHIN  CARRETERA DE RETAMAR;-2.386149;36.837982
171;CALLE RHIN;-2.385783;36.83613
172;CALLE VOLGA;-2.3874879;36.835457
173;RAMBLA EL CHARCO;-2.389024;36.834473
174;REGIONES;-2.451244;36.845452
175;LOS PARTIDORES;-2.42463;36.840832
176;LOS PICOS;-2.418472;36.839486
177;LAS COCHERAS;-2.4131086;36.8407134
178;CTRA. NÍJAR, 142;-2.411507979;36.84083072
179;PLAZA CAÑADA;-2.407328;36.84044
180;CTRA. NIJAR, 280;-2.404356;36.840416
181;KILÓMETRO 5;-2.398577;36.841161
183;LOS ÁNGELES;-2.388164;36.845881
184;VENTA CABRERA;-2.386231;36.846742
185;ROMERA;-2.383086;36.84787
186;KILÓMETRO 7;-2.377950955;36.84910576
187;RAMBLA LECHUGA;-2.374088762;36.84953661
188;AEROPUERTO;-2.371195;36.848124
189;KILÓMETRO 8;-2.368805;36.850933
190;LA VENTA;-2.363427;36.851844
191;EL CHALET;-2.360851087;36.85234028
192;KILÓMETRO 9;-2.35751287031866;36.8528312599773
193;EL ALQUIÁN;-2.354823;36.852877
194;PARQUE EL ALQUIAN;-2.351141;36.851946
195;EL ALQUIAN;-2.354823;36.852877
196;KILÓMETRO 9;-2.357584;36.852748
198;LA VENTA;-2.363427;36.851844
199;KILÓMETRO 8;-2.368805;36.850933
202;ROMERA;-2.383086;36.84787
203;VENTA CABRERA;-2.386231;36.846742
204;LOS ÁNGELES;-2.388462;36.845959
206;KILÓMETRO 5;-2.398577;36.841161
207;CTRA. DE NIJAR 239;-2.405279;36.840349
208;PLAZA DE LA CAÑADA IGLESIA;-2.40763;36.840498
210;LAS COCHERAS;-2.413529;36.840744
211;LOS PICOS;-2.418472;36.839486
212;LOS PARTIDORES;-2.42463;36.840832
221;RESIDENCIAL LOS GIRASOLES;-2.312107;36.834913
222;GUARDERÍA RETAMAR;-2.305746;36.839368
223;CAMINO DE LA ESCUELA 20;-2.303832;36.845151
224;PASEO DE CASTAÑEDA  CALLE POMELO;-2.305541;36.84738
225;PASEO DE CASTAÑEDA 92;-2.306442;36.850608
226;CALLE REAL SOLAR;-2.281838;36.890773
227;CUEVAS CENTRO;-2.2808095732968;36.8922171375448
228;CAMINO DE LOS MOLINOS 40;-2.28012793061523;36.893456980119
229;CAMINO DE LAS HERAS;-2.27855809512858;36.8923567309516
230;CAMINO DE LOS MOLINOS 15;-2.2807853;36.8923461
231;CALLE REAL;-2.28089573001199;36.8922447018525
232;CALLE REAL 1;-2.2819551175299;36.8906916380086
238;COLEGIO PÚBLICO SAN BERNARDO;-2.358712;36.854562
239;PARAJE DEL CERRILLO;-2.35884;36.854687
244;SAN VICENTE;-2.370647;36.859104
245;SAN VICENTE;-2.3706;36.859148
246;CTRA. VIATOR A ALQUIAN 55;-2.375752;36.861616
248;TRANSPORTES LOPEZ CAMPILLO;-2.378471;36.865163
249;TRANSPORTES LOPEZ CAMPILLO;-2.378471;36.865163
252;VENTA GASPAR;-2.386308;36.867759
253;VENTA GASPAR;-2.386226;36.867673
254;EL BOTICARIO;-2.387855;36.860353
255;EL BOTICARIO;-2.387855;36.860353
257;CRUCE DE LOS LLANOS;-2.3874448;36.8560561
258;CARRETERA DE VIATOR, 56;-2.387000305;36.8536404
259;CTRA. VIATOR 47;-2.387;36.85364
264;LOS CASTAÑOS;-2.308599;36.862531
265;LOS CASTAÑOS;-2.308599;36.862531
266;ACEBUCHE;-2.30326;36.86508
267;REGIONES;-2.451314;36.845457
268;PARQUE ALQUIAN;-2.351118;36.852062
273;CARRETERA DE RONDA, 31;-2.458401392;36.83431913
274;CALLES DARRICAL - OVIEDO;-2.4487458;36.8333427
275;CALLES DARRICAL - VELEZ RUBIO;-2.4470864;36.8334318
277;CALLES DARRICAL - LAROLES;-2.4468898;36.8334463
278;CALLES DARRICAL - FIÑANA;-2.4487458;36.8333427
279;PLAZA DE DALÍAS TESORERIA;-2.4442637;36.8355888
281;RAMBLA HUMILLADERO;-2.459708;36.8468553
282;MERCADO DE LOS ANGELES;-2.4598107;36.847696
286;VILLA MARÍA;-2.4559099;36.8543702
287;CONSULTORIO CAMINO DE LA CRUZ;-2.455624;36.851608
291;AVDA. MEDITERRÁNEO CTRA. DE NIJAR;-2.4470168;36.8470691
292;ESTACIÓN INTERMODAL;-2.456291;36.834918
293;ARTÉS DE ARCOS;-2.4590336;36.8359675
294;LAS PALOMAS;-2.396461;36.830694
298;PASEO DE LA CARIDAD;-2.4652327;36.8478683
299;PANIFICADORA VILLA BLANCA;-2.4396999;36.8534061
306;COLEGIO EUROPA;-2.440714;36.85569
307;CALLE DOMINGO ARTÉS 20;-2.444643;36.860127
308;AVDA. MARÍA AZNAR, 127;-2.4408707;36.8558794
309;AVDA. MARÍA AZNAR, 142;-2.43993;36.854179
311;AVDA. MADRE MARÍA AZNAR, 151;-2.4429187;36.8582408
312;INSTITUTO ALHADRA;-2.441965;36.8480872
313;AV. CABO DE GATA 140;-2.450464;36.827781
314;AV. CABO DE GATA 131;-2.450353;36.827738
316;CAMINO DE LOS ESPEJOS;-2.303086;36.843164
317;RESIDENCIAL SOL;-2.307649;36.838243
318;LAS PALOMAS;-2.396618;36.830964
319;TANATORIO;-2.4474882;36.8642243
320;REDONDA ESTADIO MUNICIPAL;-2.4448858;36.8629216
321;AVDA. MADRE MARÍA AZNAR, 6;-2.4391836;36.8519286
324;INSTITUTO ALBAIDA;-2.4432815;36.8470746
325;MANUEL MENDIZABAL;-2.44547;36.85401
326;BARRANCO LAS HERAS 14;-2.27833622879684;36.8938697821741
327;BARRANCO LAS HERAS;-2.277163;36.894979
331;COMPAÑÍA DE MARÍA;-2.4608;36.8398
332;HOSPITAL EL TOYO;-2.31381699019307;36.8509374175615
333;CALLE JUEGOS DE SPLIT;-2.31397914139348;36.8509924396567
